Date,Platform,Campaign Name,Ad Set,Ad ID,Product Category,Target Audience,Impressions,Clicks,CTR,CPC,Conversions,Conversion Rate,Spend,ROAS,Revenue,CPM,CPA,Campaign Objective,Geography,Device,Creative Type,A/B Test,Notes
2024-04-25,Google Ads,Spring Collection Launch,All Products,GA-S24-001,All,General,8125,230,2.83%,0.89,10,4.35%,204.70,3.25,665.28,25.19,20.47,Conversions,US,All,Image Carousel,No,Ongoing spring promotion
2024-04-25,Facebook,Accessories Showcase,Accessories,FB-ACC-001,Accessories,Fashion Shoppers,10125,222,2.19%,0.74,8,3.60%,164.28,3.05,501.05,16.23,20.54,Conversions,US,All,Image Collection,No,Accessories campaign
2024-04-25,Facebook,Spring Collection Launch,All Products,FB-S24-001,All,General,15125,340,2.25%,0.68,13,3.82%,231.20,3.15,728.28,15.29,17.78,Conversions,US,All,Image Carousel,No,Ongoing spring promotion
2024-04-25,Instagram,Accessories Showcase,Accessories,IG-ACC-001,Accessories,Fashion Shoppers,9245,205,2.22%,0.75,7,3.41%,153.75,2.95,453.56,16.63,21.96,Conversions,US,All,Image Collection,No,Accessories campaign
2024-04-25,Instagram,Spring Collection Launch,All Products,IG-S24-001,All,General,13125,282,2.15%,0.78,10,3.55%,219.96,2.95,649.00,16.76,22.00,Conversions,US,All,Image Carousel,No,Ongoing spring promotion
2024-04-26,Google Ads,Mothers Day Collection,Gift Ideas,GA-MDC-001,All,Women,7548,210,2.78%,0.95,9,4.29%,199.50,3.35,668.33,26.43,22.17,Conversions,US,All,Single Image,No,New Mother's Day collection
2024-04-26,Facebook,Mothers Day Collection,Gift Ideas,FB-MDC-001,All,Women,14258,325,2.28%,0.71,13,4.00%,230.75,3.25,750.44,16.18,17.75,Conversions,US,All,Single Image,No,New Mother's Day collection
2024-04-26,Instagram,Mothers Day Collection,Gift Ideas,IG-MDC-001,All,Women,12548,282,2.25%,0.74,11,3.90%,208.68,3.15,657.35,16.63,18.97,Conversions,US,All,Single Image,No,New Mother's Day collection
2024-04-27,Google Ads,Mothers Day Collection,Gift Ideas,GA-MDC-001,All,Women,8954,255,2.85%,0.93,11,4.31%,237.15,3.45,818.17,26.48,21.56,Conversions,US,All,Single Image,No,New Mother's Day collection
2024-04-27,Facebook,Mothers Day Collection,Gift Ideas,FB-MDC-001,All,Women,16854,385,2.28%,0.70,15,3.90%,269.50,3.35,902.83,15.99,17.97,Conversions,US,All,Single Image,No,New Mother's Day collection
2024-04-27,Instagram,Mothers Day Collection,Gift Ideas,IG-MDC-001,All,Women,14685,330,2.25%,0.75,13,3.94%,247.50,3.25,804.38,16.85,19.04,Conversions,US,All,Single Image,No,New Mother's Day collection
2024-04-28,Google Ads,Mothers Day Collection,Gift Ideas,GA-MDC-001,All,Women,8524,240,2.82%,0.94,10,4.17%,225.60,3.35,756.12,26.47,22.56,Conversions,US,All,Single Image,No,New Mother's Day collection
2024-04-28,Facebook,Mothers Day Collection,Gift Ideas,FB-MDC-001,All,Women,15854,361,2.28%,0.71,14,3.88%,256.31,3.25,833.00,16.17,18.31,Conversions,US,All,Single Image,No,New Mother's Day collection
2024-04-28,Instagram,Mothers Day Collection,Gift Ideas,IG-MDC-001,All,Women,13854,310,2.24%,0.74,12,3.87%,229.40,3.15,722.61,16.56,19.12,Conversions,US,All,Single Image,No,New Mother's Day collection
2024-04-29,Google Ads,Mothers Day Collection,Gift Ideas,GA-MDC-001,All,Women,7452,208,2.79%,0.96,9,4.33%,199.68,3.35,668.97,26.80,22.19,Conversions,US,All,Single Image,No,New Mother's Day collection
2024-04-29,Google Ads,Spring Collection Launch,All Products,GA-S24-001,All,General,6524,182,2.79%,0.91,8,4.40%,165.62,3.15,521.70,25.39,20.70,Conversions,US,All,Image Carousel,No,Ongoing spring promotion
2024-04-29,Facebook,Mothers Day Collection,Gift Ideas,FB-MDC-001,All,Women,13985,320,2.29%,0.69,12,3.75%,220.80,3.25,717.60,15.79,18.40,Conversions,US,All,Single Image,No,New Mother's Day collection
2024-04-29,Facebook,Spring Collection Launch,All Products,FB-S24-001,All,General,13452,302,2.24%,0.70,11,3.64%,211.40,3.05,644.80,15.72,19.22,Conversions,US,All,Image Carousel,No,Ongoing spring promotion
2024-04-29,Instagram,Mothers Day Collection,Gift Ideas,IG-MDC-001,All,Women,12452,280,2.25%,0.73,10,3.57%,204.40,3.15,644.35,16.42,20.44,Conversions,US,All,Single Image,No,New Mother's Day collection
2024-04-29,Instagram,Spring Collection Launch,All Products,IG-S24-001,All,General,11854,255,2.15%,0.77,9,3.53%,196.35,2.95,579.25,16.56,21.82,Conversions,US,All,Image Carousel,No,Ongoing spring promotion
2024-04-30,Google Ads,Mothers Day Collection,Gift Ideas,GA-MDC-001,All,Women,7582,212,2.80%,0.95,9,4.25%,201.40,3.45,695.11,26.56,22.38,Conversions,US,All,Single Image,No,New Mother's Day collection
2024-04-30,Google Ads,Spring Collection Launch,All Products,GA-S24-001,All,General,6854,190,2.77%,0.93,8,4.21%,176.70,3.25,574.28,25.78,22.09,Conversions,US,All,Image Carousel,No,Ongoing spring promotion
2024-04-30,Facebook,Mothers Day Collection,Gift Ideas,FB-MDC-001,All,Women,14125,325,2.30%,0.68,12,3.69%,221.00,3.35,739.85,15.65,18.42,Conversions,US,All,Single Image,No,New Mother's Day collection
2024-04-30,Facebook,Spring Collection Launch,All Products,FB-S24-001,All,General,13654,305,2.23%,0.71,11,3.61%,216.55,3.05,660.42,15.86,19.69,Conversions,US,All,Image Carousel,No,Ongoing spring promotion
2024-04-30,Instagram,Mothers Day Collection,Gift Ideas,IG-MDC-001,All,Women,12658,285,2.25%,0.73,10,3.51%,208.05,3.25,676.06,16.44,20.81,Conversions,US,All,Single Image,No,New Mother's Day collection
2024-04-30,Instagram,Spring Collection Launch,All Products,IG-S24-001,All,General,12125,260,2.14%,0.79,9,3.46%,205.40,2.95,606.13,16.94,22.82,Conversions,US,All,Image Carousel,No,Ongoing spring promotion
